,ID,Name,Age,Nationality,Overall,Wage,Reactions,Composure,Vision,ShortPassing,BallControl,Photo,Flag
0,158023,L. Messi,31.0,Argentina,94,565000,95.0,96.0,95.0,90.0,96.0,https://cdn.sofifa.org/players/4/19/158023.png,https://cdn.sofifa.org/flags/52.png
1,20801,Cristiano Ronaldo,33.0,Portugal,94,405000,96.0,95.0,82.0,81.0,94.0,https://cdn.sofifa.org/players/4/19/20801.png,https://cdn.sofifa.org/flags/38.png
2,190871,Neymar Jr,26.0,Brazil,92,290000,94.0,94.0,87.0,84.0,95.0,https://cdn.sofifa.org/players/4/19/190871.png,https://cdn.sofifa.org/flags/54.png
3,193080,De Gea,27.0,Spain,91,260000,90.0,68.0,68.0,50.0,42.0,https://cdn.sofifa.org/players/4/19/193080.png,https://cdn.sofifa.org/flags/45.png
4,192985,K. De Bruyne,27.0,Belgium,91,355000,91.0,88.0,94.0,92.0,91.0,https://cdn.sofifa.org/players/4/19/192985.png,https://cdn.sofifa.org/flags/7.png
5,183277,E. Hazard,27.0,Belgium,91,340000,90.0,91.0,89.0,89.0,94.0,https://cdn.sofifa.org/players/4/19/183277.png,https://cdn.sofifa.org/flags/7.png
6,177003,L. Modrić,32.0,Croatia,91,420000,90.0,84.0,92.0,93.0,93.0,https://cdn.sofifa.org/players/4/19/177003.png,https://cdn.sofifa.org/flags/10.png
7,176580,L. Suárez,31.0,Uruguay,91,455000,92.0,85.0,84.0,82.0,90.0,https://cdn.sofifa.org/players/4/19/176580.png,https://cdn.sofifa.org/flags/60.png
8,155862,Sergio Ramos,32.0,Spain,91,380000,85.0,82.0,63.0,78.0,84.0,https://cdn.sofifa.org/players/4/19/155862.png,https://cdn.sofifa.org/flags/45.png
9,200389,J. Oblak,25.0,Slovenia,90,94000,86.0,70.0,70.0,29.0,16.0,https://cdn.sofifa.org/players/4/19/200389.png,https://cdn.sofifa.org/flags/44.png
10,188545,R. Lewandowski,29.0,Poland,90,205000,90.0,86.0,77.0,83.0,89.0,https://cdn.sofifa.org/players/4/19/188545.png,https://cdn.sofifa.org/flags/37.png
11,182521,T. Kroos,28.0,Germany,90,355000,89.0,85.0,86.0,92.0,90.0,https://cdn.sofifa.org/players/4/19/182521.png,https://cdn.sofifa.org/flags/21.png
12,182493,D. Godín,32.0,Uruguay,90,125000,85.0,82.0,52.0,79.0,76.0,https://cdn.sofifa.org/players/4/19/182493.png,https://cdn.sofifa.org/flags/60.png
13,168542,David Silva,32.0,Spain,90,285000,90.0,93.0,92.0,93.0,94.0,https://cdn.sofifa.org/players/4/19/168542.png,https://cdn.sofifa.org/flags/45.png
